session_pitch_id,releaseHeight,horizontalBreak,spinClockTiltHour,date,szx,szy,selected,verticalBreak,_hour,videoPointerID,speed,no,pitchType,_minute,spinConfidence,spinEfficiency,releaseSide,trueSpin,_month,_milisecond,strike,_day,truespin,_year,pitch_id,spin,launchAngle,_second,spinAxis,releaseExtension,rifleSpin,gyroDegree,mode,_id,spinClockTiltMinute,horizontalAngle,memo,session_pitch_id
12,5.659838853747312,0,1,2019-09-27 00:00:00,-9,21.3,False,0,19,,80.5,13,0,35,0,0,-2.03795571175911,0,9,0,Y,27,0,2019,1569612932,0,-2.87761641,32,0,-,-72.79603,-90.0,1,101375,12,2.8,,12
13,5.598169923207381,6.1,7,2019-09-27 00:00:00,-5.2,33.7,False,-6.8,19,,68.1,14,3,35,0.9071414,74,-1.82981102640336,542,9,0,Y,27,542,2019,1569612920,732,2.84275413,20,04h:32m,-,491.978424,42.2,1,101375,28,0.6,,13
14,5.591533243407267,10.6,9,2019-09-27 00:00:00,-10.2,38.6,False,5.8,19,,68.3,15,3,35,0.8128439,99.8,-1.8540067810333134,686,9,0,Y,27,686,2019,1569612909,687,3.002279,9,02h:04m,-,-42.9801979,-3.6,1,101375,56,-0.2,,14
15,5.656348991537283,-11.3,1,2019-09-27 00:00:00,-14.4,14.2,False,15.1,19,,80.4,16,0,34,0.77009654,99.4,-1.79337008146608,1770,9,0,N,27,1770,2019,1569612896,1781,-2.80699229,56,10h:46m,-,-197.298859,-6.4,1,101375,14,2.5,,15
16,5.772310146569187,-11.1,1,2019-09-27 00:00:00,5.7,44.9,False,15,19,,81.1,17,0,34,0.8341825,99.7,-1.64466634108257,1771,9,0,N,27,1771,2019,1569612882,1777,-0.5736229,42,10h:46m,-,-145.814056,-4.7,1,101375,14,3.6,,16
17,5.883034392144312,0,1,2019-09-27 00:00:00,-11.9,38.5,False,0,19,,80,18,0,34,0,0,-1.82553412350972,0,9,0,N,27,0,2019,1569612869,0,-2.563454,29,0,-,-156.736,-90.0,1,101375,28,1.9,,17
18,5.478464345597607,0,10,2019-09-27 00:00:00,-3.3,31.7,False,0,19,,69.8,19,4,34,0,0,-2.0334334020409504,0,9,0,Y,27,0,2019,1569612847,0,3.18669033,7,0,-,86.80211,90.0,1,101375,50,0.5,,18
19,5.499144496547676,0,7,2019-09-27 00:00:00,32.4,7.8,False,0,19,,69.8,20,4,33,0,0,-2.0009019059285102,0,9,0,N,27,0,2019,1569612836,0,0.54365325,56,0,-,-1342.89966,-90.0,1,101375,10,3.8,,19
20,5.5213779611484,5.6,7,2019-09-27 00:00:00,22.6,24.2,False,-5.9,19,,71.4,21,4,33,0.9566299,35.4,-2.0879475097353604,630,9,0,N,27,630,2019,1569612820,1780,1.298059,40,04h:22m,-,-1664.728,-69.3,1,101375,38,3.6,,20
21,5.5703182499367,-11,1,2019-09-27 00:00:00,1.6,18.2,False,14.5,19,,79.6,22,0,33,0.7685366,99.7,-1.65435728597919,1722,9,0,Y,27,1722,2019,1569612812,1728,-1.19935358,32,10h:46m,-,-136.282089,-4.5,1,101375,14,3.7,,21
22,5.767544496955645,-13.2,1,2019-09-27 00:00:00,-1.3,33.8,False,13.5,19,,79.3,23,0,33,0.8473848,100,-1.8965537036701632,1715,9,0,Y,27,1715,2019,1569612798,1715,-1.15765309,18,10h:30m,-,-45.3320427,-1.5,1,101375,30,3.3,,22
